national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url
5674,Northern Ireland,northern-ireland,192,Northern Ireland,NIR1,UEFA,https://tmssl.akamaized.net//images/flagge/head/192.png?lm=1520611569,28,25.4,28,100.0,80150002.0,,70,2025,https://www.transfermarkt.co.uk/northern-ireland/startseite/verein/5674
5676,Thailand,thailand,167,Thailand,THA1,AFC,https://tmssl.akamaized.net//images/flagge/head/167.png?lm=1520611569,26,29.4,3,11.5,8700000.0,,93,2025,https://www.transfermarkt.co.uk/thailand/startseite/verein/5676
5750,Ecuador,ecuador,44,Ecuador,EC1N,CONMEBOL,https://tmssl.akamaized.net//images/flagge/head/44.png?lm=1520611569,32,26.0,28,87.5,366730011.0,,23,2025,https://www.transfermarkt.co.uk/ecuador/startseite/verein/5750
6090,Moldova,moldova,112,Moldova,MO1N,UEFA,https://tmssl.akamaized.net//images/flagge/head/112.png?lm=1520611569,26,25.8,15,57.7,10230000.0,,159,2025,https://www.transfermarkt.co.uk/moldova/startseite/verein/6090
6133,Estonia,estonia,47,Estonia,EST2,UEFA,https://tmssl.akamaized.net//images/flagge/head/47.png?lm=1520611569,24,24.2,12,50.0,7050000.0,,129,2025,https://www.transfermarkt.co.uk/estonia/startseite/verein/6133
6219,Armenia,armenia,10,Armenia,ARM1,UEFA,https://tmssl.akamaized.net//images/flagge/head/10.png?lm=1520611569,25,24.8,10,40.0,40380001.0,,106,2025,https://www.transfermarkt.co.uk/armenia/startseite/verein/6219
6303,Mexico,mexico,110,Mexico,MEX1,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/110.png?lm=1520611569,12,26.8,0,,79800003.0,,15,2025,https://www.transfermarkt.co.uk/mexico/startseite/verein/6303
6602,Libya,libya,96,Libya,LPL,CAF,https://tmssl.akamaized.net//images/flagge/head/96.png?lm=1520611569,19,26.5,6,31.6,11430000.0,,112,2025,https://www.transfermarkt.co.uk/libya/startseite/verein/6602
8497,Costa Rica,costa-rica,36,Costa Rica,CRPD,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/36.png?lm=1520611569,23,24.8,11,47.8,18700001.0,,51,2025,https://www.transfermarkt.co.uk/costa-rica/startseite/verein/8497
8605,Azerbaijan,azerbaijan,13,Azerbaijan,AZ1,UEFA,https://tmssl.akamaized.net//images/flagge/head/13.png?lm=1520611569,27,27.6,4,14.8,16230000.0,,124,2025,https://www.transfermarkt.co.uk/azerbaijan/startseite/verein/8605
8778,Vietnam,vietnam,185,Vietnam,VIE1,AFC,https://tmssl.akamaized.net//images/flagge/head/185.png?lm=1520611569,23,28.0,0,,6380000.0,,99,2025,https://www.transfermarkt.co.uk/vietnam/startseite/verein/8778
9110,Kazakhstan,kazakhstan,81,Kazakhstan,KAS1,UEFA,https://tmssl.akamaized.net//images/flagge/head/81.png?lm=1520611569,27,26.4,4,14.8,17700001.0,,110,2025,https://www.transfermarkt.co.uk/kazakhstan/startseite/verein/9110
9171,New Zealand,new-zealand,120,New Zealand,NNL1,OFC,https://tmssl.akamaized.net//images/flagge/head/120.png?lm=1520611569,23,27.5,15,65.2,22200001.0,,85,2025,https://www.transfermarkt.co.uk/new-zealand/startseite/verein/9171
9173,Faroe Islands,faroe-islands,208,Faroe Islands,FAR2,UEFA,https://tmssl.akamaized.net//images/flagge/head/208.png?lm=1520611569,23,27.4,7,30.4,4850000.0,,123,2025,https://www.transfermarkt.co.uk/faroe-islands/startseite/verein/9173
